article,highlights
"Translate phoneme to English sentence: ['B', 'R', 'IH', 'NG', 'SIL', 'IH', 'T', 'SIL', 'K', 'L', 'OW', 'S', 'ER', 'SIL']",Bring it closer
"Translate phoneme to English sentence: ['B', 'R', 'IH', 'NG', 'SIL', 'IH', 'T', 'SIL', 'K', 'L', 'OW', 'S', 'ER', 'SIL']",Bring it closer
"Translate phoneme to English sentence: ['M', 'AY', 'SIL', 'F', 'AE', 'M', 'AH', 'L', 'IY', 'SIL', 'IH', 'Z', 'SIL', 'K', 'L', 'OW', 'S', 'ER', 'SIL']",My family is closer
"Translate phoneme to English sentence: ['M', 'AY', 'SIL', 'F', 'AE', 'M', 'AH', 'L', 'IY', 'SIL', 'IH', 'Z', 'SIL', 'K', 'L', 'OW', 'S', 'ER', 'SIL']",My family is closer
"Translate phoneme to English sentence: ['W', 'AH', 'T', 'SIL', 'D', 'UW', 'SIL', 'DH', 'EY', 'SIL', 'L', 'AY', 'K', 'SIL']",What do they like
"Translate phoneme to English sentence: ['W', 'AH', 'T', 'SIL', 'D', 'UW', 'SIL', 'DH', 'EY', 'SIL', 'L', 'AY', 'K', 'SIL']",What do they like
"Translate phoneme to English sentence: ['HH', 'AW', 'SIL', 'IH', 'Z', 'SIL', 'DH', 'AE', 'T', 'SIL', 'G', 'UH', 'D', 'SIL']",How is that good
"Translate phoneme to English sentence: ['HH', 'AW', 'SIL', 'IH', 'Z', 'SIL', 'DH', 'AE', 'T', 'SIL', 'G', 'UH', 'D', 'SIL']",How is that good
"Translate phoneme to English sentence: ['N', 'IY', 'D', 'SIL', 'HH', 'EH', 'L', 'P', 'SIL', 'HH', 'IY', 'R', 'SIL']",Need help here
"Translate phoneme to English sentence: ['N', 'IY', 'D', 'SIL', 'HH', 'EH', 'L', 'P', 'SIL', 'HH', 'IY', 'R', 'SIL']",Need help here
"Translate phoneme to English sentence: ['Y', 'EH', 'S', 'SIL', 'Y', 'UW', 'SIL', 'HH', 'AE', 'V', 'SIL', 'IH', 'T', 'SIL', 'R', 'AY', 'T', 'SIL']",Yes you have it right
"Translate phoneme to English sentence: ['Y', 'EH', 'S', 'SIL', 'Y', 'UW', 'SIL', 'HH', 'AE', 'V', 'SIL', 'IH', 'T', 'SIL', 'R', 'AY', 'T', 'SIL']",Yes you have it right
